Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,WIPRO,EQ,555.2,552.55,554.4,550.5,552.25,552.4,552.7,202978,11218587350000.0,4196,74801,0.3685
2015-01-02,WIPRO,EQ,552.4,553.4,560.25,553.0,558.9,557.3,557.56,787304,43896802215000.0,18950,423949,0.5385
2015-01-05,WIPRO,EQ,557.3,557.05,565.0,555.5,558.55,558.3,559.97,719738,40303086250000.0,20731,397047,0.5517000000000001
2015-01-06,WIPRO,EQ,558.3,555.0,556.4,542.1,545.5,545.25,547.07,2324381,127159243409999.98,45205,1768367,0.7608
2015-01-07,WIPRO,EQ,545.25,543.2,545.0,538.35,541.5,541.1,541.38,1557297,84309024270000.0,30061,975461,0.6264000000000001
2015-01-08,WIPRO,EQ,541.1,556.15,558.9,543.2,545.0,545.0,546.12,1461025,79789382585000.0,29393,875044,0.5989
2015-01-09,WIPRO,EQ,545.0,549.2,560.0,543.25,552.5,553.5,552.34,2547585,140712068500000.0,43372,1558408,0.6117
2015-01-12,WIPRO,EQ,553.5,550.0,559.0,547.7,556.0,556.05,552.2,829086,45781916825000.0,44506,452964,0.5463
2015-01-13,WIPRO,EQ,556.05,557.1,566.7,555.0,565.7,563.5,560.7,1183627,66366091679999.99,37389,688840,0.5820000000000001
2015-01-14,WIPRO,EQ,563.5,566.0,569.5,550.0,550.15,551.95,557.74,1823224,101688191245000.0,39421,1151237,0.6314000000000001
2015-01-15,WIPRO,EQ,551.95,560.0,564.0,551.25,561.9,559.5,560.35,1311267,73476433105000.0,25715,885591,0.6754000000000001
2015-01-16,WIPRO,EQ,559.5,560.8,563.4,552.9,555.9,555.05,557.41,1557128,86795991165000.0,36585,893085,0.5735
2015-01-19,WIPRO,EQ,555.05,591.1,598.5,582.35,584.45,584.2,589.31,6062665,357278517620000.0,94050,2658246,0.4385
2015-01-20,WIPRO,EQ,584.2,586.1,594.0,582.9,588.8,590.4,587.85,2510737,147594643585000.0,47453,1582551,0.6303
2015-01-21,WIPRO,EQ,590.4,589.6,595.0,576.65,592.0,588.7,587.35,3319015,194943693410000.0,74636,2164285,0.6520999999999999
2015-01-22,WIPRO,EQ,588.7,590.0,597.7,584.7,592.95,594.55,592.24,3648498,216079784785000.0,42487,2733432,0.7492000000000001
2015-01-23,WIPRO,EQ,594.55,599.2,604.0,590.25,599.75,601.8,598.46,3614595,216318247969999.97,74035,2338219,0.6469
2015-01-27,WIPRO,EQ,601.8,602.4,605.75,595.0,595.5,598.55,600.74,2955854,177569698640000.0,57094,2125887,0.7192000000000001
2015-01-28,WIPRO,EQ,598.55,596.0,612.0,595.75,611.55,607.25,602.19,3144370,189349911280000.0,38112,2505356,0.7968000000000001
2015-01-29,WIPRO,EQ,607.25,608.0,614.5,599.8,603.0,602.7,605.44,2529061,153118709875000.0,49123,1703092,0.6734
2015-01-30,WIPRO,EQ,602.7,606.9,610.05,597.15,606.3,606.55,603.74,1761224,106332863415000.0,50109,1114486,0.6328
2015-02-02,WIPRO,EQ,606.55,612.0,627.7,609.0,626.7,625.1,619.77,2990374,185335232555000.0,64008,1771871,0.5925
2015-02-03,WIPRO,EQ,625.1,624.0,628.05,617.75,620.3,621.55,622.08,1587289,98741995755000.0,45717,878576,0.5535
2015-02-04,WIPRO,EQ,621.55,623.2,629.9,616.25,619.1,619.2,623.45,1673112,104310369910000.0,26136,1095261,0.6546
2015-02-05,WIPRO,EQ,619.2,620.95,643.1,620.9,639.0,638.25,635.48,2299427,146123189215000.0,50772,1125676,0.48950000000000005
2015-02-06,WIPRO,EQ,638.25,638.0,654.7,636.0,643.95,643.25,646.49,2076434,134239812140000.02,49620,989802,0.4767
2015-02-09,WIPRO,EQ,643.25,639.9,650.0,635.6,648.05,647.8,643.21,1273983,81944457135000.0,32607,720873,0.5658
2015-02-10,WIPRO,EQ,647.8,641.0,652.0,637.35,643.65,642.6,642.15,2088859,134136248020000.0,37412,1589514,0.7609
2015-02-11,WIPRO,EQ,642.6,646.0,649.0,633.15,640.9,638.4,637.41,2656220,169310452180000.0,45373,2096762,0.7894
2015-02-12,WIPRO,EQ,638.4,643.5,653.0,641.25,646.7,646.8,646.62,1807455,116874002309999.98,39704,1069611,0.5918
2015-02-13,WIPRO,EQ,646.8,648.0,663.9,646.8,660.8,660.7,657.85,1732344,113961922684999.98,33086,916216,0.5289
2015-02-16,WIPRO,EQ,660.7,660.9,667.25,660.0,663.85,661.5,663.52,959525,63666132920000.01,24679,552296,0.5756
2015-02-18,WIPRO,EQ,661.5,662.0,671.0,655.5,668.7,669.0,662.23,1133545,75066569690000.0,28222,594808,0.5246999999999999
2015-02-19,WIPRO,EQ,669.0,669.0,669.0,655.0,659.55,659.5,660.68,1384133,91446880270000.0,31282,897219,0.6482
2015-02-20,WIPRO,EQ,659.5,659.5,661.0,647.5,650.05,650.0,651.08,909333,59204773879999.99,19827,535873,0.5893
2015-02-23,WIPRO,EQ,650.0,650.0,658.0,643.55,649.05,649.75,651.67,1066850,69523177895000.01,23752,611500,0.5732
2015-02-24,WIPRO,EQ,649.75,652.5,659.8,649.6,652.95,653.0,653.33,1581301,103310680090000.0,29443,749770,0.47409999999999997
2015-02-25,WIPRO,EQ,653.0,653.55,665.6,652.1,661.6,663.8,659.84,1842951,121605515140000.02,37135,1245956,0.6761
2015-02-26,WIPRO,EQ,663.8,663.8,668.9,651.4,658.95,657.9,658.22,1964702,129320010690000.02,32397,1351682,0.688
2015-02-27,WIPRO,EQ,657.9,657.0,658.6,648.7,658.4,654.3,652.71,2299617,150097655550000.0,41724,1548797,0.6735
2015-02-28,WIPRO,EQ,654.3,656.8,663.5,652.0,659.3,659.2,657.6,870141,57220600679999.99,10132,482678,0.5547
2015-03-02,WIPRO,EQ,659.2,660.1,674.4,654.0,663.45,664.5,665.35,1848683,123002257534999.98,30111,1197647,0.6478
2015-03-03,WIPRO,EQ,664.5,665.0,677.0,663.0,671.9,672.45,672.36,1801839,121149307230000.0,32072,1160034,0.6437999999999999
2015-03-04,WIPRO,EQ,672.45,672.25,673.75,656.3,661.9,659.5,663.69,1630010,108182654475000.0,28023,1000216,0.6136
2015-03-05,WIPRO,EQ,659.5,659.9,669.9,655.25,666.9,667.8,666.83,1352490,90188064285000.0,42772,942834,0.6970999999999999
2015-03-09,WIPRO,EQ,667.8,667.0,667.0,656.05,660.0,660.1,659.8,1423829,93943800015000.0,25125,1113603,0.7820999999999999
2015-03-10,WIPRO,EQ,660.1,651.0,661.8,645.0,660.35,654.3,650.9,1749075,113847153790000.02,41173,1150319,0.6577
2015-03-11,WIPRO,EQ,654.3,657.55,677.6,650.5,652.25,654.75,661.89,2285766,151291696765000.0,71389,1169004,0.5114
2015-03-12,WIPRO,EQ,654.75,655.8,656.95,646.5,655.1,655.3,650.67,1176692,76563377260000.0,59757,666927,0.5668
2015-03-13,WIPRO,EQ,655.3,658.4,658.4,631.95,642.25,639.25,644.34,1876432,120905705920000.0,50636,1142316,0.6088
2015-03-16,WIPRO,EQ,639.25,641.2,650.95,636.6,645.35,646.25,645.14,1653857,106697707995000.0,35887,1144440,0.6920000000000001
2015-03-17,WIPRO,EQ,646.25,650.0,651.4,639.25,642.4,643.4,646.14,1478033,95502276850000.0,40038,958995,0.6487999999999999
